event_id,order_id,estacion,ts_inicio,ts_fin,duracion_real_min,turno
PRD00000097,ORD000025,BODY,2025-01-01 10:24:00,2025-01-01 12:22:00,118,A
PRD00000098,ORD000025,PAINT,2025-01-01 12:30:00,2025-01-01 14:23:00,113,A
PRD00000099,ORD000025,ASSEMBLY,2025-01-01 14:37:00,2025-01-01 18:29:00,232,B
PRD00000100,ORD000025,EOL,2025-01-01 18:45:00,2025-01-01 19:27:00,42,B
PRD00000101,ORD000026,BODY,2025-01-01 21:53:00,2025-01-01 23:41:00,108,B
PRD00000102,ORD000026,PAINT,2025-01-01 23:49:00,2025-01-02 01:32:00,103,C
PRD00000103,ORD000026,ASSEMBLY,2025-01-02 01:41:00,2025-01-02 05:30:00,229,C
PRD00000104,ORD000026,EOL,2025-01-02 05:34:00,2025-01-02 06:17:00,43,C
PRD00000105,ORD000027,BODY,2025-01-01 21:57:00,2025-01-01 23:47:00,110,B
PRD00000106,ORD000027,PAINT,2025-01-01 23:58:00,2025-01-02 01:52:00,114,C
PRD00000107,ORD000027,ASSEMBLY,2025-01-02 01:58:00,2025-01-02 06:30:00,272,C
PRD00000108,ORD000027,EOL,2025-01-02 06:46:00,2025-01-02 07:35:00,49,A
PRD00000109,ORD000028,BODY,2025-01-01 07:21:00,2025-01-01 08:52:00,91,A
PRD00000110,ORD000028,PAINT,2025-01-01 08:59:00,2025-01-01 10:31:00,92,A
PRD00000111,ORD000028,ASSEMBLY,2025-01-01 10:48:00,2025-01-01 13:53:00,185,A
PRD00000112,ORD000028,EOL,2025-01-01 14:03:00,2025-01-01 14:55:00,52,B
PRD00000113,ORD000029,BODY,2025-01-01 21:26:00,2025-01-01 23:26:00,120,B
PRD00000114,ORD000029,PAINT,2025-01-01 23:44:00,2025-01-02 02:08:00,144,C
PRD00000115,ORD000029,ASSEMBLY,2025-01-02 02:14:00,2025-01-02 05:32:00,198,C
PRD00000116,ORD000029,EOL,2025-01-02 05:48:00,2025-01-02 06:39:00,51,C
PRD00000117,ORD000030,BODY,2025-01-02 00:14:00,2025-01-02 01:48:00,94,C
PRD00000118,ORD000030,PAINT,2025-01-02 01:51:00,2025-01-02 04:00:00,129,C
PRD00000119,ORD000030,ASSEMBLY,2025-01-02 04:04:00,2025-01-02 07:43:00,219,C
PRD00000120,ORD000030,EOL,2025-01-02 07:55:00,2025-01-02 08:37:00,42,A
PRD00000121,ORD000031,BODY,2025-01-01 08:54:00,2025-01-01 10:48:00,114,A
PRD00000122,ORD000031,PAINT,2025-01-01 11:01:00,2025-01-01 12:50:00,109,A
PRD00000123,ORD000031,ASSEMBLY,2025-01-01 13:05:00,2025-01-01 17:27:00,262,A
PRD00000124,ORD000031,EOL,2025-01-01 17:35:00,2025-01-01 18:24:00,49,B
PRD00000125,ORD000032,BODY,2025-01-01 02:11:00,2025-01-01 03:44:00,93,C
PRD00000126,ORD000032,PAINT,2025-01-01 03:54:00,2025-01-01 05:39:00,105,C
PRD00000127,ORD000032,ASSEMBLY,2025-01-01 05:47:00,2025-01-01 10:03:00,256,C
PRD00000128,ORD000032,EOL,2025-01-01 10:13:00,2025-01-01 10:52:00,39,A
PRD00000129,ORD000033,BODY,2025-01-01 06:43:00,2025-01-01 08:27:00,104,A
PRD00000130,ORD000033,PAINT,2025-01-01 08:43:00,2025-01-01 10:29:00,106,A
PRD00000131,ORD000033,ASSEMBLY,2025-01-01 10:37:00,2025-01-01 13:54:00,197,A
PRD00000132,ORD000033,EOL,2025-01-01 14:04:00,2025-01-01 14:56:00,52,B
PRD00000133,ORD000034,BODY,2025-01-02 01:22:00,2025-01-02 02:56:00,94,C
PRD00000134,ORD000034,PAINT,2025-01-02 03:10:00,2025-01-02 05:09:00,119,C
PRD00000135,ORD000034,ASSEMBLY,2025-01-02 05:26:00,2025-01-02 09:19:00,233,C
PRD00000136,ORD000034,EOL,2025-01-02 09:30:00,2025-01-02 10:11:00,41,A
PRD00000137,ORD000035,BODY,2025-01-01 20:53:00,2025-01-01 22:28:00,95,B
PRD00000138,ORD000035,PAINT,2025-01-01 22:32:00,2025-01-02 00:13:00,101,C
PRD00000139,ORD000035,ASSEMBLY,2025-01-02 00:19:00,2025-01-02 03:31:00,192,C
PRD00000140,ORD000035,EOL,2025-01-02 03:41:00,2025-01-02 04:31:00,50,C
PRD00000141,ORD000036,BODY,2025-01-02 10:00:00,2025-01-02 11:21:00,81,A
PRD00000142,ORD000036,PAINT,2025-01-02 11:34:00,2025-01-02 12:54:00,80,A
PRD00000143,ORD000036,ASSEMBLY,2025-01-02 13:14:00,2025-01-02 16:38:00,204,A
PRD00000144,ORD000036,EOL,2025-01-02 16:50:00,2025-01-02 17:42:00,52,B
PRD00000145,ORD000037,BODY,2025-01-02 06:41:00,2025-01-02 08:32:00,111,A
PRD00000146,ORD000037,PAINT,2025-01-02 08:47:00,2025-01-02 10:25:00,98,A
PRD00000147,ORD000037,ASSEMBLY,2025-01-02 10:44:00,2025-01-02 14:30:00,226,A
PRD00000148,ORD000037,EOL,2025-01-02 14:43:00,2025-01-02 15:24:00,41,B
PRD00000149,ORD000038,BODY,2025-01-02 16:52:00,2025-01-02 18:26:00,94,B
PRD00000150,ORD000038,PAINT,2025-01-02 18:43:00,2025-01-02 20:03:00,80,B
PRD00000151,ORD000038,ASSEMBLY,2025-01-02 20:14:00,2025-01-03 00:30:00,256,B
PRD00000152,ORD000038,EOL,2025-01-03 00:47:00,2025-01-03 01:40:00,53,C
PRD00000153,ORD000039,BODY,2025-01-02 16:37:00,2025-01-02 18:45:00,128,B
PRD00000154,ORD000039,PAINT,2025-01-02 18:50:00,2025-01-02 20:27:00,97,B
PRD00000155,ORD000039,ASSEMBLY,2025-01-02 20:44:00,2025-01-03 00:36:00,232,B
PRD00000156,ORD000039,EOL,2025-01-03 00:52:00,2025-01-03 01:54:00,62,C
PRD00000157,ORD000040,BODY,2025-01-02 04:20:00,2025-01-02 05:46:00,86,C
PRD00000158,ORD000040,PAINT,2025-01-02 05:52:00,2025-01-02 07:45:00,113,C
PRD00000159,ORD000040,ASSEMBLY,2025-01-02 07:50:00,2025-01-02 11:00:00,190,A
PRD00000160,ORD000040,EOL,2025-01-02 11:21:00,2025-01-02 12:09:00,48,A
PRD00000161,ORD000041,BODY,2025-01-02 13:40:00,2025-01-02 15:06:00,86,A
PRD00000162,ORD000041,PAINT,2025-01-02 15:13:00,2025-01-02 17:18:00,125,B
PRD00000163,ORD000041,ASSEMBLY,2025-01-02 17:21:00,2025-01-02 20:59:00,218,B
PRD00000164,ORD000041,EOL,2025-01-02 21:12:00,2025-01-02 22:03:00,51,B
PRD00000165,ORD000042,BODY,2025-01-03 02:48:00,2025-01-03 04:27:00,99,C
PRD00000166,ORD000042,PAINT,2025-01-03 04:33:00,2025-01-03 06:00:00,87,C
PRD00000167,ORD000042,ASSEMBLY,2025-01-03 06:14:00,2025-01-03 10:52:00,278,A
PRD00000168,ORD000042,EOL,2025-01-03 11:07:00,2025-01-03 12:10:00,63,A
PRD00000169,ORD000043,BODY,2025-01-03 00:18:00,2025-01-03 01:51:00,93,C
PRD00000170,ORD000043,PAINT,2025-01-03 02:12:00,2025-01-03 03:45:00,93,C
PRD00000171,ORD000043,ASSEMBLY,2025-01-03 03:51:00,2025-01-03 07:35:00,224,C
PRD00000172,ORD000043,EOL,2025-01-03 07:40:00,2025-01-03 08:20:00,40,A
PRD00000173,ORD000044,BODY,2025-01-02 22:10:00,2025-01-02 23:34:00,84,C
PRD00000174,ORD000044,PAINT,2025-01-02 23:50:00,2025-01-03 01:16:00,86,C
PRD00000175,ORD000044,ASSEMBLY,2025-01-03 01:31:00,2025-01-03 05:04:00,213,C
PRD00000176,ORD000044,EOL,2025-01-03 05:20:00,2025-01-03 06:00:00,40,C
PRD00000177,ORD000045,BODY,2025-01-02 23:51:00,2025-01-03 01:47:00,116,C
PRD00000178,ORD000045,PAINT,2025-01-03 02:08:00,2025-01-03 03:36:00,88,C
PRD00000179,ORD000045,ASSEMBLY,2025-01-03 03:54:00,2025-01-03 06:56:00,182,C
PRD00000180,ORD000045,EOL,2025-01-03 07:00:00,2025-01-03 07:38:00,38,A
PRD00000181,ORD000046,BODY,2025-01-02 07:08:00,2025-01-02 09:07:00,119,A
PRD00000182,ORD000046,PAINT,2025-01-02 09:25:00,2025-01-02 10:40:00,75,A
PRD00000183,ORD000046,ASSEMBLY,2025-01-02 10:43:00,2025-01-02 13:52:00,189,A
PRD00000184,ORD000046,EOL,2025-01-02 14:08:00,2025-01-02 14:46:00,38,B
PRD00000185,ORD000047,BODY,2025-01-02 10:13:00,2025-01-02 11:59:00,106,A
PRD00000186,ORD000047,PAINT,2025-01-02 12:17:00,2025-01-02 13:58:00,101,A
PRD00000187,ORD000047,ASSEMBLY,2025-01-02 14:15:00,2025-01-02 18:01:00,226,B
PRD00000188,ORD000047,EOL,2025-01-02 18:17:00,2025-01-02 19:14:00,57,B
PRD00000189,ORD000048,BODY,2025-01-02 21:22:00,2025-01-02 22:58:00,96,B
PRD00000190,ORD000048,PAINT,2025-01-02 23:08:00,2025-01-03 00:49:00,101,C
PRD00000191,ORD000048,ASSEMBLY,2025-01-03 01:05:00,2025-01-03 04:53:00,228,C
PRD00000192,ORD000048,EOL,2025-01-03 05:05:00,2025-01-03 05:44:00,39,C
PRD00000193,ORD000049,BODY,2025-01-02 12:32:00,2025-01-02 13:52:00,80,A
PRD00000194,ORD000049,PAINT,2025-01-02 14:07:00,2025-01-02 15:37:00,90,B
PRD00000195,ORD000049,ASSEMBLY,2025-01-02 15:50:00,2025-01-02 19:04:00,194,B
PRD00000196,ORD000049,EOL,2025-01-02 19:20:00,2025-01-02 20:05:00,45,B
PRD00000197,ORD000050,BODY,2025-01-02 15:55:00,2025-01-02 17:37:00,102,B
PRD00000198,ORD000050,PAINT,2025-01-02 17:42:00,2025-01-02 18:57:00,75,B
PRD00000199,ORD000050,ASSEMBLY,2025-01-02 19:03:00,2025-01-02 23:23:00,260,B
PRD00000200,ORD000050,EOL,2025-01-02 23:38:00,2025-01-03 00:22:00,44,C
PRD00000201,ORD000051,BODY,2025-01-02 13:21:00,2025-01-02 14:56:00,95,A
PRD00000202,ORD000051,PAINT,2025-01-02 15:03:00,2025-01-02 16:37:00,94,B
PRD00000203,ORD000051,ASSEMBLY,2025-01-02 16:44:00,2025-01-02 21:01:00,257,B
PRD00000204,ORD000051,EOL,2025-01-02 21:20:00,2025-01-02 21:52:00,32,B
PRD00000205,ORD000052,BODY,2025-01-03 02:02:00,2025-01-03 03:48:00,106,C
PRD00000206,ORD000052,PAINT,2025-01-03 03:52:00,2025-01-03 05:42:00,110,C
PRD00000207,ORD000052,ASSEMBLY,2025-01-03 05:55:00,2025-01-03 11:02:00,307,C
PRD00000208,ORD000052,EOL,2025-01-03 11:05:00,2025-01-03 11:52:00,47,A
PRD00000209,ORD000053,BODY,2025-01-02 09:53:00,2025-01-02 11:29:00,96,A
PRD00000210,ORD000053,PAINT,2025-01-02 11:45:00,2025-01-02 13:09:00,84,A
PRD00000211,ORD000053,ASSEMBLY,2025-01-02 13:16:00,2025-01-02 16:35:00,199,A
PRD00000212,ORD000053,EOL,2025-01-02 16:56:00,2025-01-02 17:34:00,38,B
PRD00000213,ORD000054,BODY,2025-01-03 00:06:00,2025-01-03 02:09:00,123,C
PRD00000214,ORD000054,PAINT,2025-01-03 02:19:00,2025-01-03 04:19:00,120,C
PRD00000215,ORD000054,ASSEMBLY,2025-01-03 04:29:00,2025-01-03 08:18:00,229,C
PRD00000216,ORD000054,EOL,2025-01-03 08:32:00,2025-01-03 09:20:00,48,A
PRD00000217,ORD000055,BODY,2025-01-02 21:32:00,2025-01-02 23:10:00,98,B
PRD00000218,ORD000055,PAINT,2025-01-02 23:22:00,2025-01-03 00:59:00,97,C
PRD00000219,ORD000055,ASSEMBLY,2025-01-03 01:18:00,2025-01-03 04:30:00,192,C
PRD00000220,ORD000055,EOL,2025-01-03 04:33:00,2025-01-03 05:05:00,32,C
PRD00000221,ORD000056,BODY,2025-01-02 19:59:00,2025-01-02 21:39:00,100,B
PRD00000222,ORD000056,PAINT,2025-01-02 21:45:00,2025-01-02 23:25:00,100,B
PRD00000223,ORD000056,ASSEMBLY,2025-01-02 23:44:00,2025-01-03 03:39:00,235,C
PRD00000224,ORD000056,EOL,2025-01-03 03:53:00,2025-01-03 04:36:00,43,C
PRD00000225,ORD000057,BODY,2025-01-02 20:23:00,2025-01-02 22:12:00,109,B
PRD00000226,ORD000057,PAINT,2025-01-02 22:22:00,2025-01-02 23:49:00,87,C
PRD00000227,ORD000057,ASSEMBLY,2025-01-03 00:09:00,2025-01-03 04:35:00,266,C
PRD00000228,ORD000057,EOL,2025-01-03 04:52:00,2025-01-03 05:41:00,49,C
PRD00000229,ORD000058,BODY,2025-01-02 18:14:00,2025-01-02 20:01:00,107,B
PRD00000230,ORD000058,PAINT,2025-01-02 20:17:00,2025-01-02 22:17:00,120,B
PRD00000231,ORD000058,ASSEMBLY,2025-01-02 22:36:00,2025-01-03 01:53:00,197,C
PRD00000232,ORD000058,EOL,2025-01-03 02:13:00,2025-01-03 03:03:00,50,C
PRD00000233,ORD000059,BODY,2025-01-02 17:14:00,2025-01-02 18:50:00,96,B
PRD00000234,ORD000059,PAINT,2025-01-02 18:53:00,2025-01-02 20:51:00,118,B
PRD00000235,ORD000059,ASSEMBLY,2025-01-02 21:05:00,2025-01-02 23:26:00,141,B
PRD00000236,ORD000059,EOL,2025-01-02 23:33:00,2025-01-03 00:13:00,40,C
PRD00000237,ORD000060,BODY,2025-01-02 23:25:00,2025-01-03 00:58:00,93,C
PRD00000238,ORD000060,PAINT,2025-01-03 01:16:00,2025-01-03 02:33:00,77,C
PRD00000239,ORD000060,ASSEMBLY,2025-01-03 02:53:00,2025-01-03 07:27:00,274,C
PRD00000240,ORD000060,EOL,2025-01-03 07:32:00,2025-01-03 08:12:00,40,A
PRD00000241,ORD000061,BODY,2025-01-02 16:42:00,2025-01-02 17:51:00,69,B
PRD00000242,ORD000061,PAINT,2025-01-02 18:08:00,2025-01-02 19:46:00,98,B
PRD00000243,ORD000061,ASSEMBLY,2025-01-02 20:00:00,2025-01-02 23:55:00,235,B
PRD00000244,ORD000061,EOL,2025-01-03 00:13:00,2025-01-03 00:55:00,42,C
PRD00000245,ORD000062,BODY,2025-01-02 09:33:00,2025-01-02 11:15:00,102,A
PRD00000246,ORD000062,PAINT,2025-01-02 11:20:00,2025-01-02 13:09:00,109,A
PRD00000247,ORD000062,ASSEMBLY,2025-01-02 13:27:00,2025-01-02 18:22:00,295,A
PRD00000248,ORD000062,EOL,2025-01-02 18:30:00,2025-01-02 19:26:00,56,B
PRD00000249,ORD000063,BODY,2025-01-02 22:23:00,2025-01-02 23:47:00,84,C
PRD00000250,ORD000063,PAINT,2025-01-03 00:01:00,2025-01-03 02:08:00,127,C
PRD00000251,ORD000063,ASSEMBLY,2025-01-03 02:18:00,2025-01-03 05:16:00,178,C
PRD00000252,ORD000063,EOL,2025-01-03 05:29:00,2025-01-03 06:02:00,33,C
PRD00000253,ORD000064,BODY,2025-01-02 19:54:00,2025-01-02 20:59:00,65,B
PRD00000254,ORD000064,PAINT,2025-01-02 21:18:00,2025-01-02 23:07:00,109,B
PRD00000255,ORD000064,ASSEMBLY,2025-01-02 23:19:00,2025-01-03 02:46:00,207,C
PRD00000256,ORD000064,EOL,2025-01-03 03:06:00,2025-01-03 03:36:00,30,C
PRD00000257,ORD000065,BODY,2025-01-02 09:12:00,2025-01-02 11:22:00,130,A
PRD00000258,ORD000065,PAINT,2025-01-02 11:38:00,2025-01-02 13:07:00,89,A
PRD00000259,ORD000065,ASSEMBLY,2025-01-02 13:11:00,2025-01-02 16:43:00,212,A
PRD00000260,ORD000065,EOL,2025-01-02 16:51:00,2025-01-02 17:51:00,60,B
PRD00000261,ORD000066,BODY,2025-01-02 12:14:00,2025-01-02 14:09:00,115,A
PRD00000262,ORD000066,PAINT,2025-01-02 14:16:00,2025-01-02 15:56:00,100,B
PRD00000263,ORD000066,ASSEMBLY,2025-01-02 16:04:00,2025-01-02 19:55:00,231,B
PRD00000264,ORD000066,EOL,2025-01-02 20:15:00,2025-01-02 20:54:00,39,B
PRD00000265,ORD000067,BODY,2025-01-02 06:42:00,2025-01-02 08:37:00,115,A
PRD00000266,ORD000067,PAINT,2025-01-02 08:46:00,2025-01-02 10:52:00,126,A
PRD00000267,ORD000067,ASSEMBLY,2025-01-02 11:11:00,2025-01-02 13:59:00,168,A
PRD00000268,ORD000067,EOL,2025-01-02 14:20:00,2025-01-02 14:57:00,37,B
PRD00000269,ORD000068,BODY,2025-01-02 04:38:00,2025-01-02 06:13:00,95,C
PRD00000270,ORD000068,PAINT,2025-01-02 06:34:00,2025-01-02 08:16:00,102,A
PRD00000271,ORD000068,ASSEMBLY,2025-01-02 08:23:00,2025-01-02 12:00:00,217,A
PRD00000272,ORD000068,EOL,2025-01-02 12:10:00,2025-01-02 12:50:00,40,A
PRD00000273,ORD000069,BODY,2025-01-02 01:33:00,2025-01-02 03:12:00,99,C
PRD00000274,ORD000069,PAINT,2025-01-02 03:32:00,2025-01-02 05:02:00,90,C
PRD00000275,ORD000069,ASSEMBLY,2025-01-02 05:22:00,2025-01-02 08:25:00,183,C
PRD00000276,ORD000069,EOL,2025-01-02 08:38:00,2025-01-02 09:14:00,36,A
PRD00000277,ORD000070,BODY,2025-01-02 01:21:00,2025-01-02 03:01:00,100,C
PRD00000278,ORD000070,PAINT,2025-01-02 03:10:00,2025-01-02 04:52:00,102,C
PRD00000279,ORD000070,ASSEMBLY,2025-01-02 05:10:00,2025-01-02 09:02:00,232,C
PRD00000280,ORD000070,EOL,2025-01-02 09:11:00,2025-01-02 09:57:00,46,A
PRD00000281,ORD000071,BODY,2025-01-03 01:49:00,2025-01-03 03:16:00,87,C
PRD00000282,ORD000071,PAINT,2025-01-03 03:21:00,2025-01-03 05:13:00,112,C
PRD00000283,ORD000071,ASSEMBLY,2025-01-03 05:21:00,2025-01-03 09:14:00,233,C
PRD00000284,ORD000071,EOL,2025-01-03 09:26:00,2025-01-03 10:13:00,47,A
PRD00000285,ORD000072,BODY,2025-01-03 06:06:00,2025-01-03 07:53:00,107,A
PRD00000286,ORD000072,PAINT,2025-01-03 07:57:00,2025-01-03 09:49:00,112,A
PRD00000287,ORD000072,ASSEMBLY,2025-01-03 09:56:00,2025-01-03 13:33:00,217,A
