sesion_id,vehiculo_id,slot_id,inicio_sesion,fin_sesion,energia_entregada_kwh,tiempo_espera_previo_min,carga_interrumpida_flag,causa_interrupcion
SES_00000017,VEH_0000415,SLOT_018,2025-01-04 01:55:00,2025-01-04 03:36:00,45.507,0,0,SIN_INTERRUPCION
SES_00000018,VEH_0000387,SLOT_019,2025-01-04 03:31:00,2025-01-04 04:50:00,51.97,51,1,ALERTA_TERMICA
SES_00000019,VEH_0000402,SLOT_020,2025-01-04 05:06:00,2025-01-04 06:00:00,58.994,16,0,SIN_INTERRUPCION
SES_00000020,VEH_0000464,SLOT_021,2025-01-04 09:39:00,2025-01-04 10:13:00,27.741,25,0,SIN_INTERRUPCION
SES_00000021,VEH_0000483,SLOT_022,2025-01-04 11:26:00,2025-01-04 13:00:00,41.26,51,0,SIN_INTERRUPCION
SES_00000022,VEH_0000500,SLOT_023,2025-01-04 12:45:00,2025-01-04 13:44:00,52.167,34,0,SIN_INTERRUPCION
SES_00000023,VEH_0000498,SLOT_024,2025-01-04 13:50:00,2025-01-04 15:10:00,47.701,20,0,SIN_INTERRUPCION
SES_00000024,VEH_0000535,SLOT_025,2025-01-04 20:22:00,2025-01-04 21:00:00,53.518,10,0,SIN_INTERRUPCION
SES_00000025,VEH_0000555,SLOT_026,2025-01-05 00:40:00,2025-01-05 01:21:00,45.116,41,0,SIN_INTERRUPCION
SES_00000027,VEH_0000580,SLOT_028,2025-01-05 05:10:00,2025-01-05 07:01:00,67.038,15,0,SIN_INTERRUPCION
SES_00000026,VEH_0000581,SLOT_027,2025-01-05 05:27:00,2025-01-05 06:48:00,46.434,48,0,SIN_INTERRUPCION
SES_00000028,VEH_0000618,SLOT_029,2025-01-05 08:52:00,2025-01-05 09:16:00,40.133,6,0,SIN_INTERRUPCION
SES_00000029,VEH_0000614,SLOT_030,2025-01-05 09:02:00,2025-01-05 09:34:00,36.6,31,0,SIN_INTERRUPCION
SES_00000031,VEH_0000623,SLOT_032,2025-01-05 10:08:00,2025-01-05 11:00:00,52.042,13,0,SIN_INTERRUPCION
SES_00000030,VEH_0000607,SLOT_031,2025-01-05 11:04:00,2025-01-05 12:12:00,36.607,63,0,SIN_INTERRUPCION
SES_00000032,VEH_0000643,SLOT_001,2025-01-05 11:53:00,2025-01-05 13:40:00,38.88,34,1,ALERTA_TERMICA
SES_00000033,VEH_0000706,SLOT_002,2025-01-06 00:21:00,2025-01-06 00:50:00,51.913,30,0,SIN_INTERRUPCION
SES_00000034,VEH_0000724,SLOT_003,2025-01-06 02:10:00,2025-01-06 03:15:00,49.432,41,0,SIN_INTERRUPCION
SES_00000035,VEH_0000760,SLOT_004,2025-01-06 06:53:00,2025-01-06 07:55:00,74.826,47,0,SIN_INTERRUPCION
SES_00000036,VEH_0000759,SLOT_005,2025-01-06 09:01:00,2025-01-06 10:15:00,53.547,15,0,SIN_INTERRUPCION
SES_00000037,VEH_0000782,SLOT_006,2025-01-06 10:24:00,2025-01-06 10:59:00,42.49,19,0,SIN_INTERRUPCION
SES_00000038,VEH_0000775,SLOT_007,2025-01-06 12:05:00,2025-01-06 12:45:00,42.816,76,1,REASIGNACION_SLOT
SES_00000039,VEH_0000816,SLOT_008,2025-01-06 18:01:00,2025-01-06 18:33:00,68.718,44,0,SIN_INTERRUPCION
SES_00000040,VEH_0000839,SLOT_009,2025-01-06 19:21:00,2025-01-06 19:43:00,30.407,25,0,SIN_INTERRUPCION
SES_00000042,VEH_0000838,SLOT_011,2025-01-06 20:38:00,2025-01-06 21:06:00,56.674,0,0,SIN_INTERRUPCION
SES_00000041,VEH_0000852,SLOT_010,2025-01-06 21:44:00,2025-01-06 23:10:00,57.422,41,0,SIN_INTERRUPCION
SES_00000043,VEH_0000867,SLOT_012,2025-01-07 01:02:00,2025-01-07 01:44:00,53.71,4,0,SIN_INTERRUPCION
SES_00000044,VEH_0000873,SLOT_013,2025-01-07 02:30:00,2025-01-07 03:31:00,38.68,33,0,SIN_INTERRUPCION
SES_00000045,VEH_0000907,SLOT_014,2025-01-07 04:45:00,2025-01-07 05:25:00,50.114,31,0,SIN_INTERRUPCION
SES_00000046,VEH_0000887,SLOT_016,2025-01-07 05:05:00,2025-01-07 05:37:00,56.627,33,0,SIN_INTERRUPCION
SES_00000047,VEH_0000918,SLOT_017,2025-01-07 05:51:00,2025-01-07 07:30:00,57.765,48,0,SIN_INTERRUPCION
SES_00000048,VEH_0000943,SLOT_018,2025-01-07 08:02:00,2025-01-07 09:34:00,52.636,32,0,SIN_INTERRUPCION
SES_00000049,VEH_0000963,SLOT_019,2025-01-07 09:58:00,2025-01-07 10:39:00,46.353,26,0,SIN_INTERRUPCION
SES_00000050,VEH_0000972,SLOT_020,2025-01-07 10:53:00,2025-01-07 11:48:00,32.84,32,1,ALERTA_TERMICA
SES_00000052,VEH_0000976,SLOT_022,2025-01-07 11:08:00,2025-01-07 12:27:00,46.719,17,0,SIN_INTERRUPCION
SES_00000051,VEH_0000955,SLOT_021,2025-01-07 11:10:00,2025-01-07 11:59:00,37.4,3,1,REASIGNACION_SLOT
SES_00000053,VEH_0000987,SLOT_023,2025-01-07 13:51:00,2025-01-07 14:41:00,41.284,14,0,SIN_INTERRUPCION
SES_00000054,VEH_0000996,SLOT_024,2025-01-07 15:55:00,2025-01-07 17:25:00,55.334,33,0,SIN_INTERRUPCION
SES_00000055,VEH_0001028,SLOT_025,2025-01-07 22:37:00,2025-01-07 23:25:00,44.964,47,0,SIN_INTERRUPCION
SES_00000056,VEH_0001077,SLOT_026,2025-01-08 03:40:00,2025-01-08 04:22:00,50.356,55,0,SIN_INTERRUPCION
SES_00000057,VEH_0001081,SLOT_027,2025-01-08 03:43:00,2025-01-08 04:32:00,33.725,40,0,SIN_INTERRUPCION
SES_00000058,VEH_0001080,SLOT_028,2025-01-08 05:33:00,2025-01-08 06:34:00,40.086,35,0,SIN_INTERRUPCION
SES_00000059,VEH_0001100,SLOT_029,2025-01-08 05:35:00,2025-01-08 06:31:00,60.332,63,0,SIN_INTERRUPCION
SES_00000060,VEH_0001121,SLOT_030,2025-01-08 08:47:00,2025-01-08 09:20:00,51.512,36,0,SIN_INTERRUPCION
SES_00000061,VEH_0001115,SLOT_032,2025-01-08 09:07:00,2025-01-08 09:39:00,43.265,50,0,SIN_INTERRUPCION
SES_00000062,VEH_0001140,SLOT_031,2025-01-08 12:02:00,2025-01-08 13:05:00,50.116,26,0,SIN_INTERRUPCION
SES_00000063,VEH_0001197,SLOT_001,2025-01-08 19:33:00,2025-01-08 20:53:00,41.428,37,0,SIN_INTERRUPCION
SES_00000065,VEH_0001232,SLOT_003,2025-01-09 00:13:00,2025-01-09 01:21:00,53.554,30,0,SIN_INTERRUPCION
SES_00000064,VEH_0001203,SLOT_002,2025-01-09 00:46:00,2025-01-09 01:15:00,62.337,38,0,SIN_INTERRUPCION
SES_00000066,VEH_0001297,SLOT_004,2025-01-09 11:02:00,2025-01-09 11:47:00,48.818,43,0,SIN_INTERRUPCION
SES_00000067,VEH_0001321,SLOT_005,2025-01-09 13:22:00,2025-01-09 14:12:00,35.885,26,0,SIN_INTERRUPCION
SES_00000068,VEH_0001349,SLOT_006,2025-01-09 20:01:00,2025-01-09 20:39:00,49.53,40,0,SIN_INTERRUPCION
SES_00000069,VEH_0001355,SLOT_007,2025-01-09 20:05:00,2025-01-09 20:58:00,59.259,33,0,SIN_INTERRUPCION
SES_00000070,VEH_0001353,SLOT_008,2025-01-09 21:17:00,2025-01-09 21:44:00,40.198,53,0,SIN_INTERRUPCION
SES_00000071,VEH_0001369,SLOT_009,2025-01-09 22:52:00,2025-01-09 23:18:00,54.712,50,0,SIN_INTERRUPCION
SES_00000072,VEH_0001417,SLOT_011,2025-01-10 00:03:00,2025-01-10 00:26:00,44.432,7,0,SIN_INTERRUPCION
SES_00000074,VEH_0001378,SLOT_012,2025-01-10 01:49:00,2025-01-10 02:52:00,79.462,56,0,SIN_INTERRUPCION
SES_00000073,VEH_0001418,SLOT_010,2025-01-10 03:08:00,2025-01-10 04:33:00,49.007,53,0,SIN_INTERRUPCION
SES_00000075,VEH_0001416,SLOT_013,2025-01-10 03:32:00,2025-01-10 05:16:00,44.586,19,0,SIN_INTERRUPCION
SES_00000076,VEH_0001428,SLOT_014,2025-01-10 04:04:00,2025-01-10 04:54:00,41.142,38,0,SIN_INTERRUPCION
SES_00000077,VEH_0001459,SLOT_016,2025-01-10 08:21:00,2025-01-10 09:02:00,52.63,41,0,SIN_INTERRUPCION
SES_00000078,VEH_0001479,SLOT_017,2025-01-10 10:51:00,2025-01-10 12:23:00,60.386,31,0,SIN_INTERRUPCION
SES_00000079,VEH_0001474,SLOT_018,2025-01-10 11:09:00,2025-01-10 13:34:00,59.942,36,0,SIN_INTERRUPCION
SES_00000080,VEH_0001555,SLOT_019,2025-01-10 18:37:00,2025-01-10 19:36:00,42.177,11,0,SIN_INTERRUPCION
SES_00000081,VEH_0001574,SLOT_020,2025-01-10 22:44:00,2025-01-10 23:38:00,42.756,36,0,SIN_INTERRUPCION
SES_00000082,VEH_0001568,SLOT_021,2025-01-10 23:19:00,2025-01-11 00:05:00,63.667,53,0,SIN_INTERRUPCION
SES_00000083,VEH_0001583,SLOT_022,2025-01-11 00:41:00,2025-01-11 02:56:00,80.386,58,0,SIN_INTERRUPCION
SES_00000084,VEH_0001597,SLOT_023,2025-01-11 00:55:00,2025-01-11 02:10:00,50.509,19,0,SIN_INTERRUPCION
SES_00000085,VEH_0001591,SLOT_024,2025-01-11 01:41:00,2025-01-11 02:38:00,31.324,46,0,SIN_INTERRUPCION
SES_00000086,VEH_0001618,SLOT_025,2025-01-11 04:31:00,2025-01-11 05:14:00,38.279,67,1,MICROCORTE_ENERGIA
SES_00000087,VEH_0001604,SLOT_026,2025-01-11 04:48:00,2025-01-11 05:19:00,43.123,41,0,SIN_INTERRUPCION
SES_00000088,VEH_0001657,SLOT_027,2025-01-11 08:26:00,2025-01-11 09:45:00,38.19,40,0,SIN_INTERRUPCION
SES_00000089,VEH_0001666,SLOT_029,2025-01-11 10:09:00,2025-01-11 10:32:00,20.266,0,0,SIN_INTERRUPCION
SES_00000090,VEH_0001772,SLOT_028,2025-01-12 05:27:00,2025-01-12 06:37:00,66.237,26,0,SIN_INTERRUPCION
SES_00000091,VEH_0001789,SLOT_030,2025-01-12 05:54:00,2025-01-12 06:37:00,38.927,57,0,SIN_INTERRUPCION
SES_00000092,VEH_0001810,SLOT_032,2025-01-12 11:13:00,2025-01-12 11:50:00,46.436,0,0,SIN_INTERRUPCION
SES_00000093,VEH_0001842,SLOT_031,2025-01-12 17:13:00,2025-01-12 18:20:00,37.499,37,1,REASIGNACION_SLOT
SES_00000094,VEH_0001886,SLOT_001,2025-01-12 23:11:00,2025-01-13 00:47:00,53.448,36,0,SIN_INTERRUPCION
SES_00000095,VEH_0001902,SLOT_002,2025-01-13 03:14:00,2025-01-13 03:48:00,66.889,34,0,SIN_INTERRUPCION
SES_00000096,VEH_0001923,SLOT_003,2025-01-13 05:01:00,2025-01-13 06:04:00,45.698,33,0,SIN_INTERRUPCION
SES_00000097,VEH_0001939,SLOT_004,2025-01-13 09:01:00,2025-01-13 10:01:00,50.254,42,0,SIN_INTERRUPCION
SES_00000098,VEH_0001951,SLOT_005,2025-01-13 09:24:00,2025-01-13 10:47:00,60.216,10,0,SIN_INTERRUPCION
SES_00000099,VEH_0001957,SLOT_006,2025-01-13 10:03:00,2025-01-13 10:34:00,39.655,18,0,SIN_INTERRUPCION
SES_00000100,VEH_0001995,SLOT_007,2025-01-13 19:21:00,2025-01-13 19:46:00,44.383,36,0,SIN_INTERRUPCION
SES_00000101,VEH_0002029,SLOT_008,2025-01-13 22:36:00,2025-01-13 23:03:00,31.853,27,0,SIN_INTERRUPCION
SES_00000102,VEH_0002035,SLOT_009,2025-01-14 01:33:00,2025-01-14 02:06:00,56.848,48,0,SIN_INTERRUPCION
SES_00000103,VEH_0002051,SLOT_011,2025-01-14 03:01:00,2025-01-14 03:34:00,48.116,9,1,FALLO_CONECTOR
SES_00000104,VEH_0002069,SLOT_012,2025-01-14 04:05:00,2025-01-14 04:35:00,57.665,2,0,SIN_INTERRUPCION
SES_00000105,VEH_0002067,SLOT_010,2025-01-14 05:26:00,2025-01-14 07:43:00,72.101,45,0,SIN_INTERRUPCION
SES_00000108,VEH_0002110,SLOT_016,2025-01-14 10:53:00,2025-01-14 11:15:00,38.533,1,0,SIN_INTERRUPCION
SES_00000107,VEH_0002111,SLOT_013,2025-01-14 11:00:00,2025-01-14 12:43:00,50.354,20,0,SIN_INTERRUPCION
SES_00000106,VEH_0002103,SLOT_014,2025-01-14 11:40:00,2025-01-14 12:21:00,55.4,13,0,SIN_INTERRUPCION
SES_00000109,VEH_0002184,SLOT_017,2025-01-14 22:21:00,2025-01-14 23:38:00,47.572,36,0,SIN_INTERRUPCION
SES_00000111,VEH_0002203,SLOT_019,2025-01-15 00:49:00,2025-01-15 01:37:00,36.214,44,0,SIN_INTERRUPCION
SES_00000110,VEH_0002199,SLOT_018,2025-01-15 01:02:00,2025-01-15 02:13:00,42.112,9,0,SIN_INTERRUPCION
SES_00000113,VEH_0002191,SLOT_021,2025-01-15 01:53:00,2025-01-15 02:35:00,50.768,35,0,SIN_INTERRUPCION
SES_00000112,VEH_0002222,SLOT_020,2025-01-15 02:02:00,2025-01-15 02:55:00,56.517,49,0,SIN_INTERRUPCION
SES_00000114,VEH_0002275,SLOT_023,2025-01-15 11:11:00,2025-01-15 12:38:00,52.347,84,0,SIN_INTERRUPCION
SES_00000115,VEH_0002276,SLOT_024,2025-01-15 11:52:00,2025-01-15 13:28:00,39.655,60,1,REASIGNACION_SLOT
SES_00000118,VEH_0002333,SLOT_026,2025-01-15 19:19:00,2025-01-15 20:23:00,51.728,43,0,SIN_INTERRUPCION
SES_00000116,VEH_0002338,SLOT_022,2025-01-15 19:22:00,2025-01-15 21:31:00,56.319,31,0,SIN_INTERRUPCION
SES_00000117,VEH_0002336,SLOT_025,2025-01-15 20:36:00,2025-01-15 21:08:00,34.251,53,0,SIN_INTERRUPCION
SES_00000119,VEH_0002352,SLOT_027,2025-01-15 22:12:00,2025-01-15 23:35:00,54.861,36,0,SIN_INTERRUPCION
SES_00000120,VEH_0002399,SLOT_029,2025-01-16 02:29:00,2025-01-16 03:03:00,42.684,0,0,SIN_INTERRUPCION
SES_00000121,VEH_0002397,SLOT_028,2025-01-16 04:22:00,2025-01-16 05:06:00,42.892,54,0,SIN_INTERRUPCION
SES_00000122,VEH_0002410,SLOT_030,2025-01-16 04:55:00,2025-01-16 05:30:00,51.093,30,0,SIN_INTERRUPCION
SES_00000123,VEH_0002404,SLOT_032,2025-01-16 06:16:00,2025-01-16 07:03:00,56.377,34,0,SIN_INTERRUPCION
SES_00000124,VEH_0002440,SLOT_031,2025-01-16 12:55:00,2025-01-16 13:45:00,39.386,42,0,SIN_INTERRUPCION
SES_00000125,VEH_0002466,SLOT_001,2025-01-16 14:44:00,2025-01-16 16:26:00,62.216,62,0,SIN_INTERRUPCION
SES_00000126,VEH_0002474,SLOT_002,2025-01-16 17:33:00,2025-01-16 18:02:00,62.496,12,0,SIN_INTERRUPCION
SES_00000127,VEH_0002487,SLOT_003,2025-01-16 19:40:00,2025-01-16 20:46:00,69.188,43,0,SIN_INTERRUPCION
SES_00000128,VEH_0002519,SLOT_004,2025-01-16 23:43:00,2025-01-17 00:22:00,46.689,26,0,SIN_INTERRUPCION
SES_00000129,VEH_0002533,SLOT_006,2025-01-17 02:09:00,2025-01-17 02:43:00,66.107,56,0,SIN_INTERRUPCION
SES_00000130,VEH_0002568,SLOT_005,2025-01-17 06:41:00,2025-01-17 07:46:00,60.744,46,0,SIN_INTERRUPCION
SES_00000131,VEH_0002589,SLOT_007,2025-01-17 07:53:00,2025-01-17 08:35:00,50.033,59,0,SIN_INTERRUPCION
SES_00000132,VEH_0002613,SLOT_008,2025-01-17 12:09:00,2025-01-17 12:34:00,48.532,79,0,SIN_INTERRUPCION
SES_00000133,VEH_0002640,SLOT_009,2025-01-17 17:28:00,2025-01-17 17:56:00,50.951,21,0,SIN_INTERRUPCION
SES_00000134,VEH_0002679,SLOT_011,2025-01-17 21:48:00,2025-01-17 22:10:00,38.0,32,0,SIN_INTERRUPCION
SES_00000135,VEH_0002672,SLOT_012,2025-01-17 23:25:00,2025-01-18 00:05:00,54.596,34,0,SIN_INTERRUPCION
SES_00000136,VEH_0002700,SLOT_010,2025-01-18 00:13:00,2025-01-18 01:27:00,41.436,67,0,SIN_INTERRUPCION
SES_00000137,VEH_0002696,SLOT_016,2025-01-18 00:55:00,2025-01-18 01:18:00,46.115,51,0,SIN_INTERRUPCION
SES_00000138,VEH_0002742,SLOT_014,2025-01-18 05:05:00,2025-01-18 05:52:00,41.816,21,1,ALERTA_TERMICA
SES_00000139,VEH_0002757,SLOT_013,2025-01-18 08:27:00,2025-01-18 11:05:00,64.641,44,0,SIN_INTERRUPCION
SES_00000140,VEH_0002768,SLOT_017,2025-01-18 09:47:00,2025-01-18 11:39:00,71.65,22,0,SIN_INTERRUPCION
SES_00000142,VEH_0002786,SLOT_018,2025-01-18 10:16:00,2025-01-18 12:24:00,56.872,13,0,SIN_INTERRUPCION
SES_00000141,VEH_0002790,SLOT_019,2025-01-18 10:23:00,2025-01-18 11:20:00,52.277,51,0,SIN_INTERRUPCION
SES_00000143,VEH_0002815,SLOT_021,2025-01-18 12:48:00,2025-01-18 13:25:00,52.236,6,0,SIN_INTERRUPCION
SES_00000145,VEH_0002803,SLOT_023,2025-01-18 13:04:00,2025-01-18 14:10:00,54.266,38,0,SIN_INTERRUPCION
SES_00000147,VEH_0002822,SLOT_026,2025-01-18 14:00:00,2025-01-18 14:40:00,41.57,39,0,SIN_INTERRUPCION
SES_00000144,VEH_0002811,SLOT_020,2025-01-18 14:35:00,2025-01-18 15:32:00,48.06,56,0,SIN_INTERRUPCION
SES_00000146,VEH_0002816,SLOT_024,2025-01-18 14:41:00,2025-01-18 15:51:00,49.001,36,0,SIN_INTERRUPCION
SES_00000148,VEH_0002825,SLOT_025,2025-01-18 17:54:00,2025-01-18 18:35:00,35.058,21,1,ALERTA_TERMICA
SES_00000149,VEH_0002868,SLOT_022,2025-01-18 21:47:00,2025-01-19 00:03:00,58.496,12,0,SIN_INTERRUPCION
SES_00000150,VEH_0002878,SLOT_027,2025-01-19 02:51:00,2025-01-19 04:17:00,55.026,17,0,SIN_INTERRUPCION
SES_00000151,VEH_0002922,SLOT_029,2025-01-19 06:02:00,2025-01-19 06:43:00,51.653,21,0,SIN_INTERRUPCION
SES_00000152,VEH_0002928,SLOT_028,2025-01-19 08:42:00,2025-01-19 09:35:00,44.919,50,0,SIN_INTERRUPCION
SES_00000153,VEH_0002938,SLOT_030,2025-01-19 10:54:00,2025-01-19 11:34:00,62.428,21,0,SIN_INTERRUPCION
SES_00000154,VEH_0002961,SLOT_032,2025-01-19 14:56:00,2025-01-19 16:05:00,58.549,29,0,SIN_INTERRUPCION
SES_00000156,VEH_0002977,SLOT_001,2025-01-19 17:36:00,2025-01-19 19:12:00,55.747,12,0,SIN_INTERRUPCION
SES_00000155,VEH_0002980,SLOT_031,2025-01-19 18:39:00,2025-01-19 19:31:00,40.532,14,0,SIN_INTERRUPCION
SES_00000157,VEH_0003007,SLOT_002,2025-01-19 21:32:00,2025-01-19 21:57:00,40.188,34,1,ALERTA_TERMICA
SES_00000158,VEH_0003008,SLOT_003,2025-01-19 22:17:00,2025-01-19 22:49:00,40.548,30,0,SIN_INTERRUPCION
SES_00000159,VEH_0003041,SLOT_004,2025-01-20 02:27:00,2025-01-20 03:05:00,40.262,7,0,SIN_INTERRUPCION
SES_00000160,VEH_0003038,SLOT_006,2025-01-20 03:34:00,2025-01-20 04:04:00,46.825,16,0,SIN_INTERRUPCION
SES_00000161,VEH_0003043,SLOT_005,2025-01-20 04:17:00,2025-01-20 05:18:00,66.842,47,0,SIN_INTERRUPCION
SES_00000162,VEH_0003052,SLOT_007,2025-01-20 04:24:00,2025-01-20 04:46:00,45.176,25,0,SIN_INTERRUPCION
SES_00000163,VEH_0003049,SLOT_008,2025-01-20 05:08:00,2025-01-20 05:40:00,58.489,28,0,SIN_INTERRUPCION
SES_00000164,VEH_0003074,SLOT_009,2025-01-20 10:45:00,2025-01-20 11:24:00,64.145,34,0,SIN_INTERRUPCION
SES_00000166,VEH_0003084,SLOT_012,2025-01-20 11:25:00,2025-01-20 11:57:00,34.953,34,0,SIN_INTERRUPCION
SES_00000165,VEH_0003085,SLOT_011,2025-01-20 11:35:00,2025-01-20 11:57:00,40.34,88,1,REASIGNACION_SLOT
SES_00000167,VEH_0003095,SLOT_016,2025-01-20 13:24:00,2025-01-20 13:54:00,47.594,31,1,FALLO_CONECTOR
SES_00000168,VEH_0003090,SLOT_010,2025-01-20 13:54:00,2025-01-20 14:44:00,42.006,30,0,SIN_INTERRUPCION
SES_00000171,VEH_0003108,SLOT_019,2025-01-20 18:44:00,2025-01-20 19:39:00,46.855,21,0,SIN_INTERRUPCION
SES_00000169,VEH_0003103,SLOT_014,2025-01-20 18:56:00,2025-01-20 19:42:00,63.435,29,0,SIN_INTERRUPCION
SES_00000170,VEH_0003099,SLOT_013,2025-01-20 19:18:00,2025-01-20 20:46:00,45.911,60,0,SIN_INTERRUPCION
SES_00000172,VEH_0003107,SLOT_017,2025-01-20 19:47:00,2025-01-20 21:10:00,53.287,28,0,SIN_INTERRUPCION
SES_00000175,VEH_0003150,SLOT_023,2025-01-21 00:38:00,2025-01-21 02:04:00,55.154,6,0,SIN_INTERRUPCION
SES_00000173,VEH_0003144,SLOT_018,2025-01-21 00:48:00,2025-01-21 02:08:00,49.566,30,0,SIN_INTERRUPCION
SES_00000176,VEH_0003161,SLOT_026,2025-01-21 00:54:00,2025-01-21 02:03:00,53.722,27,0,SIN_INTERRUPCION
SES_00000174,VEH_0003153,SLOT_021,2025-01-21 02:01:00,2025-01-21 02:54:00,50.001,38,0,SIN_INTERRUPCION
SES_00000177,VEH_0003196,SLOT_020,2025-01-21 03:35:00,2025-01-21 04:31:00,35.905,27,0,SIN_INTERRUPCION
SES_00000178,VEH_0003181,SLOT_024,2025-01-21 06:24:00,2025-01-21 08:02:00,64.185,49,0,SIN_INTERRUPCION
SES_00000179,VEH_0003226,SLOT_025,2025-01-21 07:29:00,2025-01-21 08:22:00,54.459,45,0,SIN_INTERRUPCION
SES_00000181,VEH_0003234,SLOT_027,2025-01-21 08:53:00,2025-01-21 10:10:00,43.378,59,0,SIN_INTERRUPCION
SES_00000180,VEH_0003232,SLOT_022,2025-01-21 09:15:00,2025-01-21 11:06:00,50.733,68,0,SIN_INTERRUPCION
SES_00000182,VEH_0003247,SLOT_029,2025-01-21 11:36:00,2025-01-21 12:39:00,75.283,21,0,SIN_INTERRUPCION
SES_00000183,VEH_0003279,SLOT_028,2025-01-21 15:29:00,2025-01-21 16:30:00,48.939,24,0,SIN_INTERRUPCION
SES_00000184,VEH_0003300,SLOT_030,2025-01-21 19:00:00,2025-01-21 19:44:00,59.227,45,0,SIN_INTERRUPCION
SES_00000185,VEH_0003299,SLOT_032,2025-01-21 19:29:00,2025-01-21 20:29:00,64.818,31,0,SIN_INTERRUPCION
SES_00000186,VEH_0003313,SLOT_001,2025-01-21 20:36:00,2025-01-21 22:14:00,62.202,38,0,SIN_INTERRUPCION
SES_00000187,VEH_0003317,SLOT_031,2025-01-21 21:23:00,2025-01-21 22:49:00,72.612,44,0,SIN_INTERRUPCION
SES_00000188,VEH_0003324,SLOT_002,2025-01-21 22:27:00,2025-01-21 22:51:00,36.719,57,0,SIN_INTERRUPCION
SES_00000189,VEH_0003322,SLOT_003,2025-01-21 22:59:00,2025-01-22 00:07:00,61.168,37,0,SIN_INTERRUPCION
SES_00000190,VEH_0003321,SLOT_004,2025-01-22 00:08:00,2025-01-22 00:51:00,45.0,41,0,SIN_INTERRUPCION
SES_00000192,VEH_0003333,SLOT_007,2025-01-22 00:15:00,2025-01-22 00:58:00,65.951,21,0,SIN_INTERRUPCION
SES_00000191,VEH_0003327,SLOT_006,2025-01-22 00:23:00,2025-01-22 01:03:00,67.157,28,0,SIN_INTERRUPCION
SES_00000193,VEH_0003340,SLOT_005,2025-01-22 02:13:00,2025-01-22 03:04:00,55.314,25,0,SIN_INTERRUPCION
SES_00000195,VEH_0003363,SLOT_009,2025-01-22 02:33:00,2025-01-22 03:11:00,52.051,36,0,SIN_INTERRUPCION
SES_00000194,VEH_0003348,SLOT_008,2025-01-22 02:40:00,2025-01-22 03:16:00,74.174,30,0,SIN_INTERRUPCION
SES_00000196,VEH_0003389,SLOT_012,2025-01-22 03:00:00,2025-01-22 03:31:00,50.742,20,0,SIN_INTERRUPCION
SES_00000198,VEH_0003398,SLOT_016,2025-01-22 04:56:00,2025-01-22 05:28:00,64.309,0,0,SIN_INTERRUPCION
SES_00000197,VEH_0003350,SLOT_011,2025-01-22 05:22:00,2025-01-22 05:49:00,65.946,50,0,SIN_INTERRUPCION
SES_00000199,VEH_0003355,SLOT_010,2025-01-22 05:22:00,2025-01-22 07:09:00,63.037,27,0,SIN_INTERRUPCION
SES_00000200,VEH_0003419,SLOT_019,2025-01-22 06:48:00,2025-01-22 07:23:00,42.496,48,0,SIN_INTERRUPCION
