fecha,turno,headcount_proxy,absentismo_proxy,productividad_turno_indice,presion_operativa_indice,overtime_flag
2025-01-23,B,121,0.0552,0.917,0.5254,0
2025-01-23,C,84,0.065,0.8404,0.562,0
2025-01-24,A,121,0.0954,0.9823,0.5797,0
2025-01-24,B,106,0.0909,0.9054,0.4849,0
2025-01-24,C,95,0.0501,0.8274,0.5816,0
2025-01-25,A,107,0.0815,1.0076,0.4492,0
2025-01-25,B,104,0.0834,0.9334,0.4509,0
2025-01-25,C,80,0.0737,0.8298,0.4503,0
2025-01-26,A,100,0.09,0.9525,0.5863,0
2025-01-26,B,85,0.0972,0.9095,0.558,0
2025-01-26,C,80,0.0985,0.7745,0.5214,0
2025-01-27,A,108,0.0553,1.0855,0.505,0
2025-01-27,B,110,0.0761,0.9788,0.4859,0
2025-01-27,C,85,0.072,0.8473,0.5938,0
2025-01-28,A,119,0.0654,0.9581,0.472,0
2025-01-28,B,109,0.0878,0.8986,0.5944,0
2025-01-28,C,80,0.1054,0.8011,0.5895,0
2025-01-29,A,111,0.0688,0.9219,0.6054,0
2025-01-29,B,107,0.0787,0.9003,0.4899,0
2025-01-29,C,87,0.0788,0.7893,0.5654,0
2025-01-30,A,128,0.1139,0.9016,0.47,1
2025-01-30,B,126,0.0607,0.9719,0.5434,0
2025-01-30,C,93,0.0765,0.8706,0.624,0
2025-01-31,A,116,0.0671,1.0493,0.3873,0
2025-01-31,B,119,0.0661,0.9679,0.5047,0
2025-01-31,C,86,0.0672,0.8623,0.5488,0
2025-02-01,A,97,0.0736,0.965,0.4444,0
2025-02-01,B,93,0.1049,0.9433,0.5269,0
2025-02-01,C,72,0.0748,0.8316,0.5795,0
2025-02-02,A,101,0.0656,0.998,0.4985,0
2025-02-02,B,102,0.0666,0.9531,0.4806,0
2025-02-02,C,64,0.1025,0.7798,0.6402,0
2025-02-03,A,117,0.06,0.9966,0.5544,0
2025-02-03,B,100,0.0868,0.8923,0.5568,0
2025-02-03,C,93,0.0756,0.8927,0.6221,0
2025-02-04,A,111,0.0986,0.9578,0.5886,0
2025-02-04,B,103,0.081,0.9354,0.6378,0
2025-02-04,C,89,0.063,0.8298,0.6335,0
2025-02-05,A,111,0.0612,0.9554,0.5338,0
2025-02-05,B,116,0.0572,1.0239,0.5593,0
2025-02-05,C,93,0.1005,0.7812,0.6179,0
2025-02-06,A,116,0.0824,0.963,0.4493,0
2025-02-06,B,105,0.0615,0.8757,0.5205,0
2025-02-06,C,95,0.0656,0.8455,0.5855,0
2025-02-07,A,104,0.0883,0.9561,0.5059,0
2025-02-07,B,104,0.0836,0.9424,0.4715,0
2025-02-07,C,96,0.084,0.838,0.5216,0
2025-02-08,A,92,0.0982,1.0353,0.5233,0
2025-02-08,B,92,0.0917,0.8867,0.4592,0
2025-02-08,C,79,0.1178,0.8147,0.5607,1
2025-02-09,A,94,0.1194,0.868,0.5123,1
2025-02-09,B,100,0.0888,0.9234,0.521,0
2025-02-09,C,72,0.1215,0.7453,0.6627,1
2025-02-10,A,114,0.1037,0.9353,0.4873,0
2025-02-10,B,119,0.0888,0.9099,0.5371,0
2025-02-10,C,80,0.106,0.7974,0.6296,0
2025-02-11,A,109,0.0744,1.0117,0.455,0
2025-02-11,B,114,0.0886,0.9283,0.4916,0
2025-02-11,C,78,0.0744,0.8329,0.5912,0
2025-02-12,A,114,0.0536,0.9544,0.5189,0
2025-02-12,B,99,0.1013,0.9153,0.5015,0
2025-02-12,C,85,0.0864,0.7411,0.598,0
2025-02-13,A,112,0.0676,0.9621,0.5066,0
2025-02-13,B,122,0.0671,0.9691,0.5372,0
2025-02-13,C,87,0.0825,0.8141,0.6413,0
2025-02-14,A,119,0.0979,0.9662,0.507,0
2025-02-14,B,110,0.0598,1.0325,0.596,0
2025-02-14,C,88,0.0826,0.7775,0.6572,0
2025-02-15,A,89,0.1061,0.9322,0.4657,0
2025-02-15,B,85,0.1156,0.8054,0.4859,1
2025-02-15,C,77,0.0905,0.7753,0.589,0
2025-02-16,A,104,0.1206,0.9238,0.5465,1
2025-02-16,B,95,0.1367,0.9233,0.5642,1
2025-02-16,C,84,0.0899,0.833,0.5673,0
2025-02-17,A,105,0.0879,1.0073,0.5912,0
2025-02-17,B,93,0.0874,0.9065,0.4726,0
2025-02-17,C,84,0.1137,0.8325,0.6465,1
2025-02-18,A,115,0.1017,0.9102,0.5148,0
2025-02-18,B,103,0.0757,0.9077,0.5195,0
2025-02-18,C,88,0.071,0.8518,0.6108,0
2025-02-19,A,117,0.0995,1.0001,0.5677,0
2025-02-19,B,115,0.1084,0.9811,0.5736,0
2025-02-19,C,84,0.0968,0.8662,0.5822,0
2025-02-20,A,121,0.1173,0.8565,0.5679,1
2025-02-20,B,115,0.0669,0.9795,0.619,0
2025-02-20,C,105,0.0888,0.8095,0.6146,0
2025-02-21,A,110,0.0843,0.9125,0.5337,0
2025-02-21,B,105,0.102,0.9032,0.5314,0
2025-02-21,C,91,0.0908,0.8602,0.5822,0
2025-02-22,A,96,0.1255,0.8419,0.473,1
2025-02-22,B,99,0.0996,0.9518,0.5396,0
2025-02-22,C,71,0.1118,0.7845,0.5902,1
2025-02-23,A,104,0.0954,0.9083,0.5813,0
2025-02-23,B,92,0.0874,0.9163,0.4916,0
2025-02-23,C,69,0.1346,0.8039,0.5937,1
2025-02-24,A,122,0.0705,0.9257,0.5419,0
2025-02-24,B,106,0.0736,0.9423,0.5622,0
2025-02-24,C,89,0.0522,0.8348,0.621,0
2025-02-25,A,112,0.1082,0.861,0.5695,0
2025-02-25,B,112,0.1,0.8947,0.5431,0
2025-02-25,C,86,0.0834,0.8393,0.6249,0
2025-02-26,A,111,0.1092,0.95,0.4203,0
2025-02-26,B,105,0.0821,0.899,0.5416,0
2025-02-26,C,79,0.0852,0.7711,0.6552,0
2025-02-27,A,123,0.0748,0.9559,0.6324,0
2025-02-27,B,95,0.08,0.9287,0.5505,0
2025-02-27,C,85,0.0929,0.8147,0.6015,0
2025-02-28,A,110,0.0767,0.929,0.5511,0
2025-02-28,B,111,0.0813,0.9659,0.5067,0
2025-02-28,C,80,0.078,0.8338,0.6269,0
2025-03-01,A,98,0.0843,0.8993,0.572,0
2025-03-01,B,94,0.12,0.9011,0.5375,1
2025-03-01,C,71,0.1291,0.8106,0.6314,1
2025-03-02,A,102,0.1038,0.8656,0.4534,0
2025-03-02,B,83,0.083,0.9841,0.4723,0
2025-03-02,C,70,0.0795,0.8234,0.5691,0
2025-03-03,A,108,0.0957,1.0044,0.5655,0
2025-03-03,B,103,0.0964,0.9243,0.5718,0
2025-03-03,C,95,0.0897,0.8116,0.5223,0
2025-03-04,A,111,0.098,0.9545,0.5415,0
2025-03-04,B,110,0.1065,0.9095,0.6186,0
2025-03-04,C,103,0.1064,0.7577,0.616,0
2025-03-05,A,124,0.0896,0.9539,0.5523,0
2025-03-05,B,108,0.0898,0.8826,0.6079,0
2025-03-05,C,94,0.0871,0.8309,0.6831,0
2025-03-06,A,118,0.0598,0.9863,0.5751,0
2025-03-06,B,112,0.0673,0.9144,0.4854,0
2025-03-06,C,85,0.0465,0.8282,0.5466,0
2025-03-07,A,118,0.1087,1.0097,0.5773,0
2025-03-07,B,109,0.0756,0.9318,0.6118,0
2025-03-07,C,84,0.0838,0.8065,0.6787,0
2025-03-08,A,97,0.1069,0.9236,0.6231,0
2025-03-08,B,86,0.114,0.9381,0.5694,1
2025-03-08,C,81,0.0982,0.8312,0.6502,0
2025-03-09,A,102,0.107,0.9108,0.5749,0
2025-03-09,B,99,0.1243,0.8903,0.5885,1
2025-03-09,C,70,0.1142,0.7355,0.6279,1
2025-03-10,A,114,0.0944,0.8974,0.5382,0
2025-03-10,B,114,0.0649,0.9416,0.5368,0
2025-03-10,C,83,0.0815,0.8585,0.621,0
2025-03-11,A,118,0.0849,0.9195,0.5572,0
2025-03-11,B,109,0.0835,0.9079,0.5544,0
2025-03-11,C,86,0.0949,0.798,0.5868,0
2025-03-12,A,111,0.0632,0.9854,0.6415,0
2025-03-12,B,118,0.0963,0.9679,0.6244,0
2025-03-12,C,102,0.0689,0.8498,0.7051,0
2025-03-13,A,133,0.0923,0.9744,0.5485,0
2025-03-13,B,101,0.0808,0.9093,0.6387,0
2025-03-13,C,97,0.0636,0.7761,0.6977,0
2025-03-14,A,105,0.1214,0.8999,0.5556,1
2025-03-14,B,108,0.0949,0.866,0.6067,0
2025-03-14,C,86,0.0972,0.8322,0.6508,0
2025-03-15,A,92,0.0962,0.9325,0.579,0
2025-03-15,B,99,0.0976,0.9017,0.4728,0
2025-03-15,C,89,0.1029,0.7809,0.6151,0
2025-03-16,A,108,0.0973,0.9225,0.5549,0
2025-03-16,B,100,0.1158,0.821,0.5205,1
2025-03-16,C,74,0.0922,0.7524,0.6275,0
2025-03-17,A,116,0.0827,0.9905,0.5931,0
2025-03-17,B,111,0.091,0.8852,0.6162,0
2025-03-17,C,82,0.0664,0.7827,0.7207,1
2025-03-18,A,115,0.0837,0.9292,0.5968,0
2025-03-18,B,116,0.0882,0.8925,0.585,0
2025-03-18,C,95,0.0806,0.7886,0.5996,0
2025-03-19,A,115,0.0582,0.9741,0.5634,0
2025-03-19,B,115,0.0534,0.8826,0.5309,0
2025-03-19,C,100,0.0762,0.8349,0.5936,0
2025-03-20,A,115,0.127,0.9249,0.5572,1
2025-03-20,B,112,0.0938,0.9222,0.651,0
2025-03-20,C,86,0.0737,0.8554,0.6592,0
2025-03-21,A,107,0.0881,0.9255,0.6202,0
2025-03-21,B,110,0.0978,0.8794,0.6143,0
2025-03-21,C,101,0.1144,0.7846,0.5998,1
2025-03-22,A,92,0.1169,0.9118,0.5669,1
2025-03-22,B,85,0.0702,0.928,0.5159,0
2025-03-22,C,77,0.096,0.7868,0.7214,1
2025-03-23,A,103,0.1039,0.9378,0.5486,0
2025-03-23,B,106,0.0613,0.8043,0.6296,0
2025-03-23,C,77,0.0849,0.8268,0.5897,0
2025-03-24,A,107,0.0765,0.9329,0.613,0
2025-03-24,B,111,0.0421,0.9583,0.6158,0
2025-03-24,C,83,0.0948,0.8273,0.6592,0
2025-03-25,A,113,0.0835,0.9369,0.5595,0
2025-03-25,B,106,0.0912,0.8735,0.6129,0
2025-03-25,C,94,0.0861,0.8434,0.7737,1
2025-03-26,A,112,0.0815,0.8713,0.5795,0
2025-03-26,B,106,0.087,0.895,0.5868,0
2025-03-26,C,85,0.077,0.8112,0.6772,0
2025-03-27,A,107,0.1018,0.8975,0.6378,0
2025-03-27,B,109,0.0635,0.9142,0.6273,0
2025-03-27,C,98,0.0937,0.8091,0.6292,0
2025-03-28,A,115,0.1026,0.9509,0.6295,0
2025-03-28,B,110,0.0679,0.9429,0.6032,0
2025-03-28,C,89,0.0984,0.7751,0.7426,1
2025-03-29,A,108,0.0867,0.9606,0.6334,0
2025-03-29,B,90,0.1328,0.8492,0.5729,1
2025-03-29,C,74,0.1247,0.8367,0.6389,1
2025-03-30,A,107,0.1157,0.8779,0.6435,1
2025-03-30,B,90,0.1184,0.813,0.5286,1
2025-03-30,C,86,0.096,0.7966,0.5483,0
2025-03-31,A,108,0.1175,0.8538,0.6676,1
2025-03-31,B,112,0.082,0.9021,0.661,0
2025-03-31,C,91,0.0873,0.8022,0.6583,0
2025-04-01,A,111,0.0933,0.9097,0.6022,0
2025-04-01,B,105,0.1115,0.9588,0.6303,1
2025-04-01,C,82,0.1101,0.7669,0.635,1
2025-04-02,A,106,0.0732,0.9574,0.6026,0
2025-04-02,B,114,0.118,0.8914,0.6162,1
2025-04-02,C,87,0.1041,0.8444,0.6185,0
2025-04-03,A,115,0.0834,0.9612,0.5894,0
2025-04-03,B,103,0.1089,0.8464,0.5792,0
2025-04-03,C,95,0.0874,0.8056,0.6563,0
2025-04-04,A,119,0.0865,1.0357,0.6511,0
2025-04-04,B,122,0.0777,0.8942,0.6832,0
2025-04-04,C,93,0.0768,0.7742,0.7331,1
2025-04-05,A,95,0.121,0.8552,0.5614,1
2025-04-05,B,99,0.1192,0.8497,0.5506,1
2025-04-05,C,85,0.1166,0.803,0.6686,1
2025-04-06,A,94,0.0949,0.9232,0.6265,0
2025-04-06,B,92,0.1207,0.8173,0.5995,1
2025-04-06,C,80,0.1292,0.7479,0.6877,1
2025-04-07,A,118,0.1101,0.9313,0.665,1
2025-04-07,B,117,0.0817,0.8599,0.6913,0
2025-04-07,C,89,0.1138,0.7735,0.6021,1
2025-04-08,A,117,0.0672,0.9468,0.6926,0
2025-04-08,B,111,0.1137,0.9009,0.7246,1
2025-04-08,C,86,0.1352,0.7718,0.6492,1
2025-04-09,A,112,0.1028,0.8289,0.6722,0
2025-04-09,B,106,0.0744,0.8292,0.5673,0
2025-04-09,C,90,0.1052,0.8291,0.6629,0
2025-04-10,A,116,0.1051,0.8984,0.5958,0
2025-04-10,B,110,0.0713,0.9355,0.5969,0
2025-04-10,C,80,0.1177,0.7747,0.6409,1
2025-04-11,A,109,0.1011,0.8727,0.6337,0
2025-04-11,B,110,0.071,0.8968,0.6112,0
2025-04-11,C,84,0.1328,0.7892,0.6599,1
2025-04-12,A,104,0.1096,0.8837,0.6295,0
2025-04-12,B,90,0.1074,0.8336,0.5403,0
2025-04-12,C,73,0.1533,0.7442,0.6291,1
2025-04-13,A,98,0.118,0.8892,0.65,1
2025-04-13,B,101,0.1111,0.8944,0.6591,1
2025-04-13,C,76,0.1249,0.7264,0.6705,1
2025-04-14,A,120,0.0763,0.9148,0.6481,0
2025-04-14,B,99,0.0739,0.9223,0.718,0
2025-04-14,C,85,0.0932,0.7413,0.7035,0
2025-04-15,A,109,0.1141,0.8769,0.6118,1
2025-04-15,B,106,0.1106,0.8325,0.6902,1
2025-04-15,C,93,0.0956,0.7671,0.7536,1
2025-04-16,A,111,0.0974,0.8683,0.6578,0
2025-04-16,B,98,0.0919,0.8745,0.6372,0
2025-04-16,C,87,0.0682,0.8081,0.7913,1
2025-04-17,A,127,0.105,0.904,0.6708,0
2025-04-17,B,103,0.1132,0.9002,0.6678,1
2025-04-17,C,85,0.0955,0.7973,0.7338,1
2025-04-18,A,115,0.0737,0.9368,0.6256,0
2025-04-18,B,111,0.085,0.9448,0.6342,0
2025-04-18,C,91,0.0937,0.7594,0.6515,0
2025-04-19,A,106,0.1359,0.8894,0.6489,1
2025-04-19,B,87,0.1094,0.92,0.6031,0
2025-04-19,C,89,0.1381,0.7327,0.7099,1
2025-04-20,A,112,0.1267,0.9035,0.5606,1
2025-04-20,B,76,0.1259,0.8423,0.5844,1
2025-04-20,C,70,0.1199,0.7762,0.7505,1
2025-04-21,A,105,0.0881,0.8565,0.6059,0
2025-04-21,B,113,0.058,0.9234,0.6934,0
2025-04-21,C,89,0.0991,0.7583,0.707,0
2025-04-22,A,112,0.0873,0.943,0.6222,0
2025-04-22,B,98,0.0897,0.8917,0.6673,0
2025-04-22,C,81,0.105,0.7294,0.749,1
2025-04-23,A,105,0.0849,0.9074,0.6676,0
2025-04-23,B,95,0.11,0.877,0.6986,0
2025-04-23,C,97,0.1053,0.6569,0.7406,1
2025-04-24,A,110,0.1149,0.913,0.6375,1
2025-04-24,B,107,0.1155,0.8308,0.6864,1
2025-04-24,C,91,0.0635,0.819,0.7101,0
2025-04-25,A,112,0.0802,0.8964,0.7168,0
2025-04-25,B,107,0.1128,0.8434,0.6628,1
2025-04-25,C,101,0.0867,0.7648,0.8273,1
2025-04-26,A,102,0.1021,0.8525,0.6995,0
2025-04-26,B,104,0.0973,0.8845,0.6217,0
2025-04-26,C,76,0.0869,0.7699,0.7052,0
2025-04-27,A,105,0.089,0.907,0.6426,0
2025-04-27,B,85,0.1101,0.9439,0.6751,1
2025-04-27,C,71,0.1083,0.8033,0.7465,1
2025-04-28,A,109,0.0932,0.8821,0.7235,1
2025-04-28,B,94,0.0985,0.8764,0.6641,0
2025-04-28,C,89,0.1099,0.8213,0.8069,1
2025-04-29,A,122,0.0681,0.9977,0.7057,0
2025-04-29,B,105,0.0822,0.797,0.6852,0
2025-04-29,C,87,0.1112,0.7811,0.7693,1
2025-04-30,A,122,0.1159,0.8667,0.6568,1
2025-04-30,B,106,0.0759,0.8745,0.5729,0
2025-04-30,C,94,0.0908,0.8161,0.8052,1
2025-05-01,A,107,0.101,0.8788,0.6488,0
2025-05-01,B,106,0.1132,0.8594,0.643,1
2025-05-01,C,79,0.1122,0.7915,0.7267,1
2025-05-02,A,121,0.0964,0.8393,0.6542,0
2025-05-02,B,115,0.0993,0.8471,0.6985,0
2025-05-02,C,90,0.0998,0.7413,0.6817,0
2025-05-03,A,111,0.0974,0.9134,0.673,0
2025-05-03,B,93,0.1069,0.8711,0.6932,0
2025-05-03,C,81,0.0994,0.785,0.8044,1
2025-05-04,A,111,0.1083,0.8358,0.653,0
2025-05-04,B,90,0.1001,0.9058,0.6133,0
2025-05-04,C,73,0.1064,0.8196,0.7355,1
2025-05-05,A,116,0.0959,0.8769,0.656,0
2025-05-05,B,103,0.0966,0.8623,0.676,0
2025-05-05,C,92,0.0768,0.7909,0.7903,1
2025-05-06,A,122,0.0931,0.8844,0.7244,1
2025-05-06,B,104,0.093,0.8612,0.76,1
2025-05-06,C,92,0.09,0.7936,0.8164,1
2025-05-07,A,114,0.0842,0.9486,0.6011,0
2025-05-07,B,102,0.085,0.942,0.6784,0
2025-05-07,C,94,0.0925,0.768,0.7292,1
2025-05-08,A,95,0.106,0.9099,0.7192,0
2025-05-08,B,109,0.0864,0.8809,0.7059,0
2025-05-08,C,88,0.1117,0.759,0.7746,1
2025-05-09,A,111,0.0973,0.9091,0.746,1
2025-05-09,B,109,0.0719,0.8544,0.6467,0
2025-05-09,C,84,0.1097,0.735,0.6739,0
2025-05-10,A,91,0.0961,0.9148,0.6813,0
2025-05-10,B,82,0.128,0.7491,0.7317,1
2025-05-10,C,77,0.0966,0.7713,0.8218,1
2025-05-11,A,103,0.0746,0.9024,0.6613,0
2025-05-11,B,88,0.1249,0.8445,0.6229,1
2025-05-11,C,77,0.1086,0.7676,0.73,1
2025-05-12,A,122,0.1092,0.8925,0.6939,0
2025-05-12,B,117,0.0873,0.9064,0.6774,0
2025-05-12,C,79,0.0786,0.8224,0.7079,0
2025-05-13,A,98,0.1463,0.8198,0.7574,1
2025-05-13,B,108,0.1295,0.8758,0.714,1
2025-05-13,C,86,0.0789,0.7442,0.754,1
2025-05-14,A,109,0.0943,0.9092,0.7291,1
2025-05-14,B,102,0.0959,0.8713,0.7349,1
2025-05-14,C,90,0.1122,0.7869,0.8012,1
2025-05-15,A,107,0.1078,0.8858,0.7574,1
2025-05-15,B,102,0.1063,0.8247,0.667,0
2025-05-15,C,83,0.0996,0.7765,0.8346,1
2025-05-16,A,103,0.0919,0.8829,0.6638,0
2025-05-16,B,104,0.1155,0.7703,0.763,1
2025-05-16,C,92,0.0831,0.7681,0.8552,1
2025-05-17,A,102,0.1027,0.8499,0.6852,0
2025-05-17,B,93,0.1059,0.9298,0.6742,0
2025-05-17,C,73,0.1198,0.7438,0.7957,1
2025-05-18,A,108,0.121,0.8943,0.6711,1
2025-05-18,B,90,0.1096,0.8716,0.6586,0
2025-05-18,C,78,0.1314,0.7545,0.7381,1
2025-05-19,A,115,0.0809,0.9517,0.6461,0
2025-05-19,B,114,0.0883,0.892,0.6807,0
2025-05-19,C,94,0.0934,0.7624,0.7774,1
2025-05-20,A,116,0.108,0.8786,0.7676,1
2025-05-20,B,105,0.0793,0.905,0.7692,1
2025-05-20,C,78,0.1233,0.7482,0.8249,1
2025-05-21,A,121,0.0876,0.9445,0.7539,1
2025-05-21,B,114,0.1377,0.881,0.8034,1
2025-05-21,C,94,0.085,0.8084,0.897,1
2025-05-22,A,113,0.1341,0.845,0.7413,1
2025-05-22,B,112,0.1165,0.8224,0.7039,1
2025-05-22,C,98,0.0724,0.7772,0.8065,1
2025-05-23,A,113,0.076,0.9514,0.7105,0
2025-05-23,B,112,0.1146,0.8079,0.7207,1
2025-05-23,C,89,0.0881,0.7156,0.776,1
2025-05-24,A,92,0.1143,0.8473,0.6914,1
2025-05-24,B,94,0.1392,0.8472,0.6765,1
2025-05-24,C,79,0.104,0.755,0.7013,0
2025-05-25,A,90,0.1526,0.8167,0.7366,1
2025-05-25,B,90,0.1126,0.7747,0.7112,1
2025-05-25,C,84,0.1237,0.6907,0.7367,1
2025-05-26,A,118,0.0753,0.8807,0.6554,0
2025-05-26,B,114,0.1003,0.8121,0.7458,1
2025-05-26,C,81,0.0717,0.7558,0.7883,1
2025-05-27,A,108,0.1024,0.8847,0.69,0
2025-05-27,B,114,0.0839,0.8629,0.7062,0
2025-05-27,C,86,0.1147,0.7461,0.7198,1
2025-05-28,A,115,0.1116,0.9033,0.7249,1
2025-05-28,B,108,0.0965,0.8319,0.7102,0
2025-05-28,C,79,0.0993,0.7599,0.8357,1
2025-05-29,A,113,0.101,0.8091,0.7282,1
2025-05-29,B,106,0.1103,0.8911,0.691,1
2025-05-29,C,81,0.1052,0.7752,0.7676,1
2025-05-30,A,119,0.0801,0.9006,0.6899,0
2025-05-30,B,101,0.0966,0.8368,0.6888,0
2025-05-30,C,85,0.0933,0.7757,0.7025,0
2025-05-31,A,95,0.1465,0.8921,0.6449,1
2025-05-31,B,95,0.1003,0.8395,0.731,1
2025-05-31,C,71,0.1303,0.6992,0.8032,1
2025-06-01,A,105,0.1094,0.9037,0.6286,0
2025-06-01,B,97,0.1598,0.8121,0.6968,1
2025-06-01,C,81,0.116,0.7565,0.7806,1
2025-06-02,A,112,0.094,0.863,0.7535,1
2025-06-02,B,109,0.1044,0.8448,0.7326,1
2025-06-02,C,75,0.0706,0.7782,0.781,1
2025-06-03,A,113,0.1434,0.8342,0.68,1
2025-06-03,B,95,0.1158,0.841,0.8241,1
2025-06-03,C,78,0.0961,0.7812,0.8078,1
2025-06-04,A,107,0.1129,0.8232,0.6728,1
2025-06-04,B,120,0.0771,0.8811,0.709,0
2025-06-04,C,90,0.1209,0.7309,0.7655,1
2025-06-05,A,103,0.1016,0.8587,0.7973,1
2025-06-05,B,107,0.0914,0.8677,0.7686,1
2025-06-05,C,93,0.0798,0.7615,0.8641,1
2025-06-06,A,121,0.1228,0.8385,0.8228,1
2025-06-06,B,104,0.1328,0.8076,0.8059,1
2025-06-06,C,91,0.0986,0.7806,0.8739,1
2025-06-07,A,97,0.1245,0.8954,0.6659,1
2025-06-07,B,91,0.1511,0.7594,0.7212,1
2025-06-07,C,67,0.1208,0.7627,0.8261,1
2025-06-08,A,105,0.0991,0.9283,0.7766,1
2025-06-08,B,89,0.1315,0.8725,0.7033,1
2025-06-08,C,81,0.1443,0.7531,0.8055,1
2025-06-09,A,116,0.0761,0.8983,0.7426,1
2025-06-09,B,104,0.0808,0.8087,0.7641,1
2025-06-09,C,81,0.0964,0.7631,0.9326,1
2025-06-10,A,118,0.0797,0.8614,0.8038,1
2025-06-10,B,112,0.1256,0.8187,0.7636,1
2025-06-10,C,92,0.1069,0.7879,0.8909,1
2025-06-11,A,101,0.1264,0.8574,0.7354,1
2025-06-11,B,107,0.1139,0.808,0.778,1
2025-06-11,C,91,0.0881,0.7525,0.8187,1
2025-06-12,A,113,0.0856,0.9476,0.7665,1
2025-06-12,B,96,0.1119,0.827,0.7925,1
2025-06-12,C,84,0.1046,0.8088,0.8557,1
2025-06-13,A,124,0.0922,0.8823,0.8143,1
2025-06-13,B,102,0.1111,0.8463,0.6821,1
2025-06-13,C,86,0.0971,0.7207,0.8868,1
2025-06-14,A,100,0.1113,0.8654,0.7715,1
2025-06-14,B,101,0.136,0.8048,0.7159,1
2025-06-14,C,73,0.1344,0.746,0.828,1
2025-06-15,A,103,0.12,0.8641,0.7352,1
2025-06-15,B,91,0.1734,0.7594,0.6629,1
2025-06-15,C,85,0.115,0.7873,0.7314,1
2025-06-16,A,117,0.1163,0.8722,0.7674,1
2025-06-16,B,105,0.0994,0.821,0.7554,1
2025-06-16,C,99,0.0924,0.7223,0.9435,1
2025-06-17,A,107,0.1093,0.8428,0.7549,1
